name,parkprop,parknumber,commboard,council,dimen,extant,Cost
"quinn, matthew d.",N,,0.0,0.0,,Y,
"Conway, Frank Tablet",N,,0.0,0.0,,M,
Cigarette,N,,5.0,3.0,"h 15'1"" x w 25'6"" x d 18'7""",Y,
Philosophy,O,M008,5.0,3.0,,Y,
Giuseppe Garibaldi,Y,M098,2.0,1.0,"H: 20'8"" W: 10' D: 10'",Y,
O'Connor Park,Y,Q103,11.0,19.0,,M,
Alexander Hamilton,N,,1.0,1.0,,Y,
Commerce,N,,1.0,1.0,,Y,
Rockaway Whale,N,Q163A,,,,N,
Madonna,O,B048,9.0,35.0,,Y,
roman law giver,O,B048,9.0,35.0,,Y,
Luminescence,Y,Q471,2.0,26.0,"6' Diameter x 1 1/4' Tall (Each Moon), 66' Diameter Semicircle (Installation)",Y,
"Skycycles 1, 2, 3",Y,R149,2.0,50.0,"1: W: 11' L: 8'11"" H: 5'3""; 2: W: 12' L: 6'3"" H: 3'6""; 3: W: 15' L: 8'9"" H: 4'8""",Y,
One Hundred Fifty Seventh St. Subway,N,,9.0,7.0,"1'h x 2'5""",Y,
Forest Park Honor Roll,Y,Q015,16.0,30.0,,M,
"shepard, edward morse",N,,9.0,7.0,,Y,
Guadalcanal Heroes,Y,M071,0.0,6.0,,M,
Jeffrey's Hook Lighthouse Plaque,Y,M028,12.0,7.0,,Y,
Hon. James A. Hatch,Y,M098,2.0,1.0,"9"" x 12""",S,
Father Studzinski Memorial,N,,1.0,,"3'6"" L x 2' W x 5' H",Y,
Confucius,N,,5.0,2.0,,Y,
Highbridge World War I Memorial,Y,X030,4.0,16.0,"H: 15'9"" W: 8'8"" D: 8'8""",Y,6000.00
Marine Park Plaque,Y,Q028,14.0,32.0,,M,
Æsculapius,N,,9.0,7.0,,Y,
Dolphins,Y,,0.0,0.0,,M,
Admiral George Dewey Memorial,Y,M005,1.0,1.0,"Plaque H: 3'9"" W: 2'8"" D: 1""; Plinth H: 4' W: 3'4"" D: 2'8""",Y,"$7,000"
greek epic poetry,O,B048,9.0,35.0,,Y,
Archimedes,N,,0.0,0.0,,Y,
Drama,O,M008,5.0,3.0,,Y,
triumph of law,N,,5.0,2.0,,Y,
public school #94,N,,0.0,0.0,,Y,
Washington Heights Evening High School,N,,9.0,7.0,,Y,
"poe, edgar allan",N,,7.0,6.0,,Y,
public school #87,N,,0.0,0.0,,Y,
wisdom,N,,5.0,2.0,,Y,
greek architecture,O,B048,9.0,35.0,,Y,
"washington, george bust",N,,1.0,1.0,,Y,
"Ciccarone, Pvt. V.",Y,,0.0,0.0,,M,
General Edward Fowler,Y,BZ032,2.0,35.0,"Figure H: 7'11""; Pedestal H: 6'4"" Diameter 7'2""; Plaque H: 1'9 1/2 "" W: 2' 1/2""",Y,
"zenger, john peter",N,X155,1.0,17.0,10'h,Y,
Connolly,N,,4.0,37.0,,Y,
"Hazen, Irving A.",N,,1.0,49.0,no size,Y,
"Foster, Rebecca Salome",N,,1.0,1.0,,Y,
"radgik, abraham",N,,0.0,0.0,,Y,
Sheepshead Bay Fishing Piers Improvements,Y,B393,15.0,48.0,"Ottoman: 7'D x 3'5""H; Flagpole: 34'H",Y,
New York City AIDs Memorial,Y,M404,2.0,3.0,,Y,
